qid,ground_truth
COLOR-0001,A
COLOR-0002,A
COLOR-0003,B
COLOR-0004,B
COLOR-0005,B
COLOR-0006,B
COLOR-0007,B
COLOR-0008,B
COLOR-0009,B
COLOR-0010,B
COLOR-0011,B
COLOR-0012,B
COLOR-0013,B
COLOR-0014,B
COLOR-0015,B
COLOR-0016,B
COLOR-0017,B
COLOR-0018,A
COLOR-0019,B
COLOR-0020,B
COLOR-0021,B
COLOR-0022,B
COLOR-0023,B
COLOR-0024,B
COLOR-0025,B
COLOR-0026,B
COLOR-0027,B
COLOR-0028,B
COLOR-0029,B
COLOR-0030,B
COLOR-0031,B
COLOR-0032,B
COLOR-0033,A
COLOR-0034,A
COLOR-0035,B
COLOR-0036,A
COLOR-0037,B
COLOR-0038,B
COLOR-0039,B
COLOR-0040,B
COLOR-0041,B
COLOR-0042,B
COLOR-0043,B
COLOR-0044,B
COLOR-0045,B
COLOR-0046,B
COLOR-0047,B
COLOR-0048,B
COLOR-0049,B
COLOR-0050,B
COLOR-0051,A
COLOR-0052,A
COLOR-0053,B
COLOR-0054,B
COLOR-0055,B
COLOR-0056,B
COLOR-0057,B
COLOR-0058,B
COLOR-0059,B
COLOR-0060,B
COLOR-0061,B
COLOR-0062,B
COLOR-0063,B
COLOR-0064,B
COLOR-0065,B
COLOR-0066,B
COLOR-0067,B
COLOR-0068,A
COLOR-0069,B
COLOR-0070,B
COLOR-0071,B
COLOR-0072,B
COLOR-0073,B
COLOR-0074,B
COLOR-0075,B
COLOR-0076,B
COLOR-0077,B
COLOR-0078,B
COLOR-0079,B
COLOR-0080,B
COLOR-0081,B
COLOR-0082,A
COLOR-0083,B
COLOR-0084,A
COLOR-0085,B
COLOR-0086,B
COLOR-0087,B
COLOR-0088,B
COLOR-0089,B
COLOR-0090,B
COLOR-0091,B
COLOR-0092,B
COLOR-0093,B
COLOR-0094,B
COLOR-0095,B
COLOR-0096,B
COLOR-0097,B
COLOR-0098,B
COLOR-0099,A
COLOR-0100,B
COLOR-0101,B
COLOR-0102,B
COLOR-0103,B
COLOR-0104,B
COLOR-0105,B
COLOR-0106,B
COLOR-0107,B
COLOR-0108,B
COLOR-0109,B
COLOR-0110,B
COLOR-0111,B
COLOR-0112,B
COLOR-0113,B
COLOR-0114,A
COLOR-0115,A
COLOR-0116,B
COLOR-0117,B
COLOR-0118,B
COLOR-0119,B
COLOR-0120,B
COLOR-0121,B
COLOR-0122,B
COLOR-0123,B
COLOR-0124,B
COLOR-0125,B
COLOR-0126,B
COLOR-0127,B
COLOR-0128,B
COLOR-0129,B
COLOR-0130,B
COLOR-0131,B
COLOR-0132,A
COLOR-0133,B
COLOR-0134,B
COLOR-0135,B
COLOR-0136,B
COLOR-0137,B
COLOR-0138,B
COLOR-0139,B
COLOR-0140,B
COLOR-0141,B
COLOR-0142,B
COLOR-0143,B
COLOR-0144,B
COLOR-0145,A
COLOR-0146,B
COLOR-0147,B
COLOR-0148,B
COLOR-0149,B
COLOR-0150,B
COLOR-0151,B
COLOR-0152,B
COLOR-0153,B
COLOR-0154,B
COLOR-0155,B
COLOR-0156,B
COLOR-0157,B
COLOR-0158,B
COLOR-0159,B
COLOR-0160,B
COLOR-0161,A
COLOR-0162,B
COLOR-0163,A
COLOR-0164,B
COLOR-0165,B
COLOR-0166,B
COLOR-0167,B
COLOR-0168,B
COLOR-0169,B
COLOR-0170,B
COLOR-0171,B
COLOR-0172,B
COLOR-0173,B
COLOR-0174,B
COLOR-0175,B
COLOR-0176,B
COLOR-0177,B
COLOR-0178,A
COLOR-0179,B
COLOR-0180,A
COLOR-0181,B
COLOR-0182,B
COLOR-0183,B
COLOR-0184,B
COLOR-0185,B
COLOR-0186,B
COLOR-0187,B
