task,model,rank_AIC_fixed,rank_AIC_random,rank_BIC_fixed,rank_BIC_random,avg_rank,data_type
Grid,BCH,2,2,2,2,2.0,Self-report
Grid,LogN,5,3,5,3,4.0,Self-report
Grid,PE,4,5,4,5,4.5,Self-report
Grid,SDT,1,1,1,1,1.0,Self-report
Grid,WEV,3,4,3,4,3.5,Self-report
Gabor,BCH,2,2,2,2,2.0,Self-report
Gabor,LogN,5,5,5,5,5.0,Self-report
Gabor,PE,4,4,4,3,3.75,Self-report
Gabor,SDT,1,1,1,1,1.0,Self-report
Gabor,WEV,3,3,3,4,3.25,Self-report
Brightness,BCH,1,1,1,1,1.0,Self-report
Brightness,LogN,3,4,3,4,3.5,Self-report
Brightness,PE,4,3,4,3,3.5,Self-report
Brightness,SDT,2,2,2,2,2.0,Self-report
Brightness,WEV,5,5,5,5,5.0,Self-report
Grid,BCH,1,3,1,3,2.0,Logits
Grid,LogN,4,4,4,4,4.0,Logits
Grid,PE,3,1,3,1,2.0,Logits
Grid,SDT,2,2,2,2,2.0,Logits
Grid,WEV,5,5,5,5,5.0,Logits
Gabor,BCH,2,2,2,2,2.0,Logits
Gabor,LogN,5,5,5,5,5.0,Logits
Gabor,PE,3,4,3,4,3.5,Logits
Gabor,SDT,1,1,1,1,1.0,Logits
Gabor,WEV,4,3,4,3,3.5,Logits
Brightness,BCH,3,2,3,2,2.5,Logits
Brightness,LogN,5,4,5,4,4.5,Logits
Brightness,PE,4,3,4,3,3.5,Logits
Brightness,SDT,1,1,1,1,1.0,Logits
Brightness,WEV,2,5,2,5,3.5,Logits
